2F1	KLRG1	SLC25A5
KIAA0351	RALGPS1	RALGPS2
KIAA0563	LRRC37A	LRRC37A3
KIAA0700	SIN3A	SIN3B
KIAA0705	ACTRT1	MAGI2
KIAA1426	CRAMP1L	HN1L
KIP2	CDKN1C	CIB2
KIR	GEM	KIR3DL1
KIR2DL5	KIR2DL5A	KIR2DL5B
KLIP1	MLF1IP	YIPF3
KNTC1AP	ZW10	ZWILCH
KNTC2AP	MIS12	ZWINT
KOX21	ZNF37A	ZNF37BP
KOX31	ZNF33A	ZNF33B
KS	COL18A1	OXSM
KS1	CXCL14	ZNF382
KSP37	FGFBP2	TMEM72
KSR	CNKSR1	KSR1
L11	HN1L	RPL11
L12	RPL12	RSL1D1
L13	MRPL13	RPL13
L13A	MRPL13	RPL13A
L15	CCDC34	RPL15
L19	IGKV1-12	RPL19	SIK3
L2	PPFIBP1	ZACN
L30	RPL30	RSL24D1
L5	KNCN	RPL5
L6	MED10	RPL6	TM4SF1
L8	IGKV1-9	RPL8
L9	IGKV1-8	RPL9
LACS2	ACSL1	ACSL6
LAG1	CCL4	CERS1
LAGE2A	CTAG1A	CTAG1B
LAM	TSC1	TSC2
LAMP	LAMP3	LSAMP
LAP	CEBPB	CENPJ	LAP3
LAP1	ANPEP	TRAF3
LAP2	ERBB2IP	TMPO
LAT1	LAT	SLC7A5
LCA	GUCY2D	PTPRC
LD	EPM2A	FMN1
LE	FUT3	HPS4
LEU1	CD5	DLEU1
LFA-1	ITGAL	ITGB2
LGCR	EXT1	TRPS1
LGS	EXT1	LGSN
LIM1	LHX1	MIP
LIP1	CENPJ	STK11IP
LIP2	ANXA2	ANXA2P3
LPAP	ACP6	PTPRCAP
LPP1	PPAP2A	VANGL2
LRF	CREBRF	ZBTB7A
LRP	LRP1	MVP	PTPRA	RPSA
LSH	HELLS	SLC11A1
LST-1	LST1	SLCO1B1
M-ABC1	ABCB8	ABCF2
M-ABC2	ABCB10	ABCB10P1
M130	CD163	PPP1R12A
MAC-1	ITGAM	ITGB2
MAD	AMPD1	MXD1
MAD1	MAD1L1	MXD1
MAD2	MAD2L1	MXI1
MADH6	SMAD6	SMAD9
MADH7	SMAD6	SMAD7
MADM	ADAM10	NRBP1
MAGE1	MAGEA1	MAGED4
MAGE2	MAGEA2	MAGEA2B
MAK3	NAA30	NAA50
MART1	MLANA	RTL1
MASA	ENOPH1	L1CAM
MAT1	MNAT1	PEA15
MBL	MBL2	MBL3P
MBP-1	ENO1	HIVEP1
MBS	MBS1	PPP1R12A
MCD	MCKD1	MLYCD
MCDR2	AKR1C2	PROM1
MCH2	CASP6	MCHR2
MCP	CAPG	CD46
MCSP	CSPG4	GPX4	SMCP
MCT	MCAT	SLC16A1
MCT3	SLC16A3	SLC16A8
MCT4	SLC16A3	SLC16A4
MCT5	SLC16A4	SLC16A5
MCT6	SLC16A5	SLC16A6
MCT7	SLC16A2	SLC16A6
MDC	ADAM11	CCL22
MDR1	ABCB1	TBC1D9
ME2	CELSR1	PCDHB11
MED	COL9A2	COL9A3	COMP	SCN8A
MEF	ELF4	MEFV
METTL2	METTL2A	METTL2B
MGC15397	GLYATL1	TMEM41A
MGC22679	KLHL23	PHOSPHO2
MGC45441	CCDC23	CCDC24
MGC5228	PRSS30P	SRSF1
MGF	KITLG	STAT5A
MIC1	C18orf8	GDF15
MIFR	MMP23A	MMP23B
MIP	MAFIP	MIPEP	TNPO1
MIP1	MAPKAP1	TNPO1
MIR	MARCH8	MLXIP	MYLIP
MK	MDK	MVK
ML-1	ATP8A2	IL17F
MLCK	MYLK	MYLK3
MLL2	KMT2B	KMT2D
MLL4	KMT2B	KMT2D
MLP	CSRP3	MARCKSL1
MLP1	ABCC6	MARCKSL1
MN	CA9	GYPA
MNAB	OR1K1	RC3H2
MNS	GYPA	GYPB	GYPE
MOP3	ARNTL	SBNO1
MOX1	CD200	MEOX1	NOX1
MOX2	CD200	MEOX2
MP1	LAMTOR3	PITRM1
MP44	MTUS1	NUP35
MPS1	IDUA	RPS27	TTK
MRG1	CITED2	MEIS2	MORF4L1P1
MRG2	MEIS3	MEIS3P1
MRLC2	MYL12B	MYLPF
MRP	ABCC1	WLS
MRP-L15	MRPL15	MRPL19
MRP-L32	MRPL14	MRPL32
MRP1	ABCC1	MSH3
MRP2	ABCC2	KLHL1	SYCE1L
MRP6	ABCC6	S100A12
MRP7	ABCC10	CFTR
MRP8	ABCC11	ABCC8	S100A8
MRS	DEFA1	MROS
MS4A4	MS4A4A	MS4A8
MSF	FN1	PRG4	SEPT9
MSH	MSX2	POMC
MSK16	ACAN	CSPG4
MSP	MSMB	MST1
MSS1	GTPBP3	PSMC2
MST	MAP3K10	MPST	MSTO1
MT1	MT1A	MT1B	MT1E	MT1F	MT1G	MT1H	MT1IP	MT1JP	MT1L	MT1M	MT1X
MT1K	MT1G	MT1M
MTB	MT1JP	NCAPG2
MTCP1	CMC4	SH2D1A
MTF1	MFI2	MYT1
MTS1	CDKN2A	S100A4
MTTF1	TFAMP1	TFAMP2
MU	BLOC1S5	GSTM1	PSMA2
MUC5	MUC5AC	MUC5B
MYM	ZMYM1	ZMYM2	ZMYM3	ZMYM4	ZMYM5	ZMYM6
NAC	NA	NLRP1
NAC1	NACC1	SCN1A
NAG	NAGLU	NBAS
NAP1	AZI2	C9orf156	IL8	NAP1L1	NAPSA
NAP1L	NAP1L1	NAPSB
NAP2	NAP1L4	NAPSB
NAT1	EIF4G2	SLC6A2
NAT3	NAA20	SLC38A4
NAT5	NAA20	NAA50
NBC3	SLC4A7	SLC4A8
NBP	COASY	TP63
NBS1	NBN	NLRP2
ND1	IVNS1ABP	MT-ND1
NEP	DDR1	MME
NET	ELK3	SLC6A2
NET1	PRPF38B	SLC6A2	SLC6A5
NEU	ERBB2	NEU1
NG2	CSPG4	RNF5
NIK	MAP3K14	MAP4K4
